,count,mean,std,min,1%,5%,50%,95%,99%,max
fsh_miu_ml,541.0,5.448412199630313,6.058343714660139,0.21,1.024,1.8,4.85,9.14,15.26600000000001,100.0
lh_miu_ml,541.0,3.1094750462107212,8.788465383557432,0.02,0.1,0.25,2.3,7.47,10.650000000000006,200.0
fsh_lh,541.0,3.9257848685848935,5.874503809016651,0.002145688800792864,0.4352517985611511,0.7092337917485265,2.169230769230769,12.761904761904763,31.21230769230775,50.0
vit_d3_ng_ml,541.0,29.33683548983364,14.519778444664558,0.0,9.28,12.7,25.9,56.2,72.91200000000009,150.0
prg_ng_ml,541.0,0.5462495378927911,2.415028983536063,0.047,0.15,0.25,0.32,0.88,1.2520000000000004,50.0
i_beta_hcg_miu_ml,541.0,664.5492347504621,3348.92057648176,1.3,1.97,1.99,20.0,1134.4,23790.91600000007,32460.97
ii_beta_hcg_miu_ml,540.0,238.67047962962965,1605.2804846487888,0.99,1.9473,1.99,1.99,596.4014999999998,3681.3407000000075,25000.0
