threshold,recall,specificity,precision,f1,balanced_accuracy
0.05,1.0,0.0,0.40786666666666666,0.5794109290652524,0.5
0.06,1.0,0.0,0.40786666666666666,0.5794109290652524,0.5
0.07,1.0,0.0,0.40786666666666666,0.5794109290652524,0.5
0.08,1.0,0.0,0.40786666666666666,0.5794109290652524,0.5
0.09,1.0,0.0,0.40786666666666666,0.5794109290652524,0.5
0.1,1.0,0.0,0.40786666666666666,0.5794109290652524,0.5
0.11,1.0,0.0,0.40786666666666666,0.5794109290652524,0.5
0.12,1.0,0.0,0.40786666666666666,0.5794109290652524,0.5
0.13,1.0,0.00022517451024544022,0.40792105614081875,0.5794658079181663,0.5001125872551228
0.14,1.0,0.0006755235307363207,0.4080298786181139,0.5795755968169761,0.5003377617653681
0.15,1.0,0.001125872551227201,0.40813875917278186,0.5796854273261323,0.5005629362756135
0.16,1.0,0.0018013960819635217,0.4083021890016017,0.5798502511610274,0.5009006980409818
0.17,1.0,0.003152443143436163,0.4086294416243655,0.5801801801801801,0.5015762215717181
0.18,1.0,0.004503490204908804,0.4089572192513369,0.5805104848657368,0.5022517451024544
0.19,1.0,0.008331456879081288,0.40988878467104384,0.581448393841475,0.5041657284395407
0.2,0.9996730957829356,0.011709074532762891,0.41063515509601184,0.582143537026461,0.5056910851578492
0.21,0.9990192873488069,0.017338437288898896,0.4118598382749326,0.5832617616184751,0.5081788623188529
0.22,0.9980385746976136,0.022292276514298583,0.4128465179175118,0.5840826477903195,0.5101654256059561
0.23,0.996730957829356,0.03062373339337987,0.4146042969812347,0.5856141361759339,0.5136773456113679
0.24,0.9931350114416476,0.03963071380319748,0.41599342735861977,0.5863732870102297,0.5163828626224225
0.25,0.988558352402746,0.050889439315469485,0.4177372565271446,0.587298504563993,0.5197238958591077
0.26,0.9830009807126512,0.06485025895068679,0.41997206703910617,0.5885115960465799,0.523925619831669
0.27,0.978751225890814,0.07993695113713127,0.4228813559322034,0.5905907880461584,0.5293440885139726
0.28,0.9728669499836547,0.0956991668543121,0.425629290617849,0.5921798825987464,0.5342830584189834
0.29,0.965675057208238,0.11393830218419275,0.428799535491363,0.5938882187374347,0.5398066796962153
0.3,0.9584831644328212,0.13240261202431886,0.4321296978629329,0.5956928078017066,0.54544288822857
0.31,0.95096436744034,0.1506417473541995,0.43541386020056877,0.5973305954825462,0.5508030573972698
0.32,0.9424648577966656,0.1702319297455528,0.43894640682095004,0.5989404799002804,0.5563483937711091
0.33,0.9326577312847336,0.1913983337086242,0.44273743016759776,0.6004419656950437,0.5620280324966789
0.34,0.9195815626021576,0.2112136906102229,0.4453768207726409,0.6001066666666667,0.5653976266061903
0.35,0.9078130107878392,0.23530736320648502,0.4498623035801069,0.6016031195840554,0.571560186997162
0.36,0.898659692710036,0.26075208286421975,0.455736074270557,0.6047739522604774,0.5797058877871278
0.37,0.8823144818568159,0.2821436613375366,0.4584678104297605,0.6033981667784485,0.5822290715971763
0.38,0.8672768878718535,0.30533663589281695,0.4623562216800279,0.6031601682391724,0.5863067618823352
0.39,0.8522392938868911,0.32852961044809725,0.4664519592055824,0.6029139685476411,0.5903844521674941
0.4,0.8309905197777051,0.35307363206485026,0.4694367497691597,0.5999527967901818,0.5920320759212777
0.41,0.8136645962732919,0.37671695564062146,0.473463952824805,0.5986050986050986,0.5951907759569567
0.42,0.7960117685518143,0.39788335960369287,0.4766099040908201,0.5962291870714985,0.5969475640777536
0.43,0.7783589408303367,0.42152668317946407,0.481010101010101,0.5945810962667,0.5999428120049004
0.44,0.7610330173259235,0.4471965773474443,0.48672381350616767,0.5937260902830911,0.6041147973366839
0.45,0.7410918600849951,0.4694888538617428,0.49037421587713603,0.5902108825826607,0.605290356973369
0.46,0.7175547564563582,0.49335735194775954,0.4938132733408324,0.5850213219616205,0.6054560542020588
0.47,0.6982674076495586,0.5181265480747579,0.49953227315247895,0.5824130879345604,0.6081969778621583
0.48,0.6753841124550507,0.5442467912632291,0.5051344743276284,0.5779829346761785,0.6098154518591399
0.49,0.6521739130434783,0.5726187795541545,0.5124582584125353,0.5739355581127733,0.6123963462988165
0.5,0.6305982347172279,0.5951362305786985,0.5175744566675611,0.5685234305923961,0.6128672326479632
0.51,0.6060804184373978,0.6210312992569241,0.5241730279898219,0.5621588841722256,0.613555858847161
0.52,0.5766590389016019,0.646025669894168,0.5287769784172662,0.5516810007818608,0.6113423543978849
0.53,0.549852893102321,0.6692186444494483,0.5337987940336402,0.54170692431562,0.6095357687758847
0.54,0.522066034651847,0.6899346993920288,0.5369872225958305,0.5294215150008288,0.6060003670219378
0.55,0.4919908466819222,0.7122269759063274,0.5407833273445921,0.5152345087298871,0.6021089112941248
0.56,0.4612618502778686,0.7369961720333258,0.547111283443195,0.5005321035828308,0.5991290111555971
0.57,0.43249427917620137,0.7588380995271335,0.5526315789473685,0.4852374839537869,0.5956661893516675
0.58,0.39457338999673097,0.7806800270209412,0.5534158642824393,0.46068702290076335,0.587626708508836
0.59,0.36907486106570775,0.8002702094122945,0.5600198412698413,0.44492610837438423,0.5846725352390012
0.6,0.33540372670807456,0.8214366133753659,0.5640461792193513,0.42066420664206644,0.5784201700417202
0.61,0.3082706766917293,0.8408016212564737,0.5715151515151515,0.400509662348694,0.5745361489741015
0.62,0.2781954887218045,0.8594911056068453,0.5769491525423729,0.3753859726510807,0.5688432971643249
0.63,0.2546583850931677,0.875703670344517,0.585274229902329,0.3548974943052392,0.5651810277188424
0.64,0.2288329519450801,0.8907903625309614,0.5907172995780591,0.3298774740810556,0.5598116572380207
0.65,0.20725727361882967,0.9061022292276514,0.6032350142721218,0.30851581508515813,0.5566797514232406
0.66,0.18470088264138607,0.920738572393605,0.6161395856052344,0.28420523138833,0.5527197275174955
0.67,0.16639424648577966,0.9353749155595587,0.6394472361809045,0.2640726329442283,0.5508845810226691
0.68,0.14481856815952926,0.9470839900923216,0.6533923303834809,0.2370885737222371,0.5459512791259254
0.69,0.12781954887218044,0.9592434136455753,0.6835664335664335,0.2153676673092812,0.5435314812588778
