threshold,recall,specificity,precision,f1,balanced_accuracy
0.05,0.9924812030075187,0.0625,0.34108527131782945,0.5076923076923077,0.5274906015037594
0.055,0.9924812030075187,0.06985294117647059,0.34285714285714286,0.5096525096525096,0.5311670720919947
0.06,0.9924812030075187,0.07352941176470588,0.34375,0.5106382978723404,0.5330053073861123
0.065,0.9924812030075187,0.08455882352941177,0.3464566929133858,0.5136186770428015,0.5385200132684652
0.07,0.9924812030075187,0.09926470588235294,0.35013262599469497,0.5176470588235295,0.5458729544449359
0.075,0.9924812030075187,0.1213235294117647,0.3557951482479784,0.5238095238095238,0.5569023662096417
0.08,0.9849624060150376,0.15073529411764705,0.36187845303867405,0.5292929292929293,0.5678488500663423
0.085,0.9849624060150376,0.16176470588235295,0.3649025069637883,0.532520325203252,0.5733635559486953
0.09,0.9849624060150376,0.16911764705882354,0.36694677871148457,0.5346938775510204,0.5770400265369305
0.095,0.9774436090225563,0.1875,0.37037037037037035,0.5371900826446281,0.5824718045112782
0.1,0.9774436090225563,0.20220588235294118,0.3746397694524496,0.5416666666666666,0.5898247456877488
0.105,0.9699248120300752,0.22426470588235295,0.37941176470588234,0.5454545454545454,0.5970947589562141
0.11,0.9699248120300752,0.23161764705882354,0.3816568047337278,0.5477707006369427,0.6007712295444494
0.115,0.9699248120300752,0.2426470588235294,0.3850746268656716,0.5512820512820513,0.6062859354268023
0.12,0.9699248120300752,0.2610294117647059,0.39090909090909093,0.5572354211663066,0.6154771118973905
0.125,0.9699248120300752,0.27205882352941174,0.3944954128440367,0.5608695652173913,0.6209918177797434
0.13,0.9699248120300752,0.2977941176470588,0.403125,0.5695364238410596,0.633859464838567
0.135,0.9624060150375939,0.3088235294117647,0.4050632911392405,0.5701559020044543,0.6356147722246793
0.14,0.9548872180451128,0.3161764705882353,0.4057507987220447,0.5695067264573991,0.635531844316674
0.145,0.9473684210526315,0.3272058823529412,0.4077669902912621,0.5701357466063348,0.6372871517027864
0.15,0.9473684210526315,0.33088235294117646,0.4090909090909091,0.5714285714285714,0.639125386996904
0.155,0.9398496240601504,0.3492647058823529,0.4139072847682119,0.5747126436781609,0.6445571649712516
0.16,0.9398496240601504,0.35661764705882354,0.4166666666666667,0.5773672055427251,0.648233635559487
0.165,0.9398496240601504,0.3639705882352941,0.41946308724832215,0.580046403712297,0.6519101061477223
0.17,0.9398496240601504,0.3639705882352941,0.41946308724832215,0.580046403712297,0.6519101061477223
0.175,0.9398496240601504,0.3713235294117647,0.4222972972972973,0.5827505827505828,0.6555865767359575
0.18,0.9398496240601504,0.3786764705882353,0.42517006802721086,0.585480093676815,0.6592630473241928
0.185,0.9398496240601504,0.40441176470588236,0.4355400696864111,0.5952380952380952,0.6721306943830163
0.19,0.9398496240601504,0.41911764705882354,0.4416961130742049,0.6009615384615384,0.679483635559487
0.195,0.9398496240601504,0.4338235294117647,0.44802867383512546,0.6067961165048543,0.6868365767359575
0.2,0.9398496240601504,0.4522058823529412,0.4562043795620438,0.6142506142506142,0.6960277532065458
0.205,0.9323308270676691,0.4632352941176471,0.45925925925925926,0.6153846153846154,0.697783060592658
0.21,0.9323308270676691,0.4632352941176471,0.45925925925925926,0.6153846153846154,0.697783060592658
0.215,0.9323308270676691,0.47794117647058826,0.46616541353383456,0.6215538847117794,0.7051360017691287
0.22,0.9323308270676691,0.4963235294117647,0.47509578544061304,0.6294416243654822,0.7143271782397169
0.225,0.9323308270676691,0.5,0.47692307692307695,0.6310432569974554,0.7161654135338346
0.23,0.9323308270676691,0.5257352941176471,0.4901185770750988,0.6424870466321243,0.729033060592658
0.235,0.9323308270676691,0.5404411764705882,0.4979919678714859,0.6492146596858639,0.7363860017691286
0.24,0.9323308270676691,0.5551470588235294,0.5061224489795918,0.656084656084656,0.7437389429455993
0.245,0.9172932330827067,0.5625,0.5062240663900415,0.6524064171122995,0.7398966165413534
0.25,0.9097744360902256,0.5845588235294118,0.5170940170940171,0.659400544959128,0.7471666298098187
0.255,0.9097744360902256,0.5882352941176471,0.51931330472103,0.6612021857923497,0.7490048651039363
0.26,0.9097744360902256,0.5882352941176471,0.51931330472103,0.6612021857923497,0.7490048651039363
0.265,0.9097744360902256,0.5955882352941176,0.5238095238095238,0.6648351648351648,0.7526813356921715
0.27,0.9097744360902256,0.6066176470588235,0.5307017543859649,0.6703601108033241,0.7581960415745246
0.275,0.9022556390977443,0.6286764705882353,0.5429864253393665,0.6779661016949152,0.7654660548429898
0.28,0.9022556390977443,0.6360294117647058,0.547945205479452,0.6818181818181818,0.7691425254312251
0.285,0.9022556390977443,0.6397058823529411,0.5504587155963303,0.6837606837606838,0.7709807607253427
0.29,0.8947368421052632,0.6580882352941176,0.5613207547169812,0.6898550724637681,0.7764125386996904
0.295,0.8947368421052632,0.6654411764705882,0.5666666666666667,0.6938775510204082,0.7800890092879257
0.3,0.8872180451127819,0.6691176470588235,0.5673076923076923,0.6920821114369502,0.7781678460858027
0.305,0.8872180451127819,0.6727941176470589,0.5700483091787439,0.6941176470588235,0.7800060813799203
0.31,0.8796992481203008,0.6727941176470589,0.5679611650485437,0.6902654867256637,0.7762466828836798
0.315,0.8721804511278195,0.6764705882352942,0.5686274509803921,0.6884272997032641,0.7743255196815568
0.32,0.8646616541353384,0.6838235294117647,0.572139303482587,0.688622754491018,0.7742425917735516
0.325,0.8571428571428571,0.6911764705882353,0.5757575757575758,0.6888217522658611,0.7741596638655461
0.33,0.8571428571428571,0.7058823529411765,0.5876288659793815,0.6972477064220184,0.7815126050420168
0.335,0.8571428571428571,0.7132352941176471,0.59375,0.7015384615384616,0.7851890756302521
0.34,0.8571428571428571,0.7205882352941176,0.6,0.7058823529411765,0.7888655462184874
0.345,0.8571428571428571,0.7389705882352942,0.6162162162162163,0.7169811320754716,0.7980567226890756
0.35,0.8571428571428571,0.7426470588235294,0.6195652173913043,0.7192429022082019,0.7998949579831933
0.355,0.849624060150376,0.7463235294117647,0.6208791208791209,0.7174603174603175,0.7979737947810703
0.36,0.849624060150376,0.7573529411764706,0.6312849162011173,0.7243589743589743,0.8034885006634233
0.365,0.849624060150376,0.7683823529411765,0.6420454545454546,0.7313915857605178,0.8090032065457762
0.37,0.8421052631578947,0.7720588235294118,0.6436781609195402,0.7296416938110749,0.8070820433436532
