threshold,recall,specificity,precision,f1,balanced_accuracy
0.05,1.0,0.15073529411764705,0.36538461538461536,0.5352112676056338,0.5753676470588235
0.055,1.0,0.19852941176470587,0.3789173789173789,0.5495867768595041,0.5992647058823529
0.06,1.0,0.23161764705882354,0.3888888888888889,0.56,0.6158088235294118
0.065,1.0,0.2536764705882353,0.3958333333333333,0.5671641791044776,0.6268382352941176
0.07,1.0,0.2757352941176471,0.403030303030303,0.5745140388768899,0.6378676470588236
0.075,1.0,0.29411764705882354,0.40923076923076923,0.5807860262008734,0.6470588235294118
0.08,1.0,0.3161764705882353,0.4169278996865204,0.588495575221239,0.6580882352941176
0.085,1.0,0.33088235294117646,0.4222222222222222,0.59375,0.6654411764705882
0.09,1.0,0.35661764705882354,0.4318181818181818,0.6031746031746031,0.6783088235294118
0.095,1.0,0.36764705882352944,0.4360655737704918,0.6073059360730594,0.6838235294117647
0.1,1.0,0.3786764705882353,0.44039735099337746,0.6114942528735632,0.6893382352941176
0.105,1.0,0.39705882352941174,0.4478114478114478,0.6186046511627907,0.6985294117647058
0.11,1.0,0.4007352941176471,0.44932432432432434,0.62004662004662,0.7003676470588236
0.115,1.0,0.4227941176470588,0.4586206896551724,0.6288416075650118,0.7113970588235294
0.12,1.0,0.4522058823529412,0.4716312056737589,0.6409638554216868,0.7261029411764706
0.125,1.0,0.46691176470588236,0.4784172661870504,0.6472019464720195,0.7334558823529411
0.13,1.0,0.47794117647058826,0.48363636363636364,0.6519607843137255,0.7389705882352942
0.135,1.0,0.49264705882352944,0.4907749077490775,0.6584158415841584,0.7463235294117647
0.14,0.9924812030075187,0.5,0.4925373134328358,0.6583541147132169,0.7462406015037594
0.145,0.9924812030075187,0.5110294117647058,0.4981132075471698,0.6633165829145728,0.7517553073861123
0.15,0.9849624060150376,0.5220588235294118,0.5019157088122606,0.6649746192893401,0.7535106147722247
0.155,0.9849624060150376,0.5404411764705882,0.51171875,0.6735218508997429,0.7627017912428129
0.16,0.9849624060150376,0.5514705882352942,0.5177865612648221,0.6787564766839378,0.7682164971251659
0.165,0.9849624060150376,0.5625,0.524,0.6840731070496083,0.7737312030075187
0.17,0.9849624060150376,0.5735294117647058,0.5303643724696356,0.6894736842105263,0.7792459088898718
0.175,0.9774436090225563,0.5808823529411765,0.5327868852459017,0.6896551724137931,0.7791629809818664
0.18,0.9774436090225563,0.5845588235294118,0.5349794238683128,0.6914893617021277,0.7810012162759841
0.185,0.9774436090225563,0.5919117647058824,0.5394190871369294,0.6951871657754011,0.7846776868642193
0.19,0.9774436090225563,0.6029411764705882,0.5462184873949579,0.7008086253369272,0.7901923927465723
0.195,0.9774436090225563,0.6029411764705882,0.5462184873949579,0.7008086253369272,0.7901923927465723
0.2,0.9774436090225563,0.6066176470588235,0.5485232067510548,0.7027027027027027,0.7920306280406899
0.205,0.9774436090225563,0.6323529411764706,0.5652173913043478,0.7162534435261708,0.8048982750995135
0.21,0.9774436090225563,0.6397058823529411,0.5701754385964912,0.7202216066481995,0.8085747456877488
0.215,0.9774436090225563,0.6470588235294118,0.5752212389380531,0.724233983286908,0.8122512162759841
0.22,0.9774436090225563,0.6654411764705882,0.5882352941176471,0.7344632768361582,0.8214423927465723
0.225,0.9774436090225563,0.6764705882352942,0.5963302752293578,0.7407407407407407,0.8269570986289252
0.23,0.9774436090225563,0.6838235294117647,0.6018518518518519,0.7449856733524355,0.8306335692171605
0.235,0.9774436090225563,0.6875,0.6046511627906976,0.7471264367816092,0.8324718045112782
0.24,0.9774436090225563,0.6911764705882353,0.6074766355140186,0.7492795389048992,0.8343100398053958
0.245,0.9774436090225563,0.7095588235294118,0.6220095693779905,0.7602339181286549,0.8435012162759841
0.25,0.9774436090225563,0.7132352941176471,0.625,0.7624633431085044,0.8453394515701017
