model,roc_auc_mean,roc_auc_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std
random_forest,0.8781610981610981,0.04702997179436642,0.7886039886039886,0.09966461888665697,0.7224660397074191,0.0783423717793932,0.7494881851161879,0.07193533410535946,0.8169282569282569,0.058150978670256794
logistic_regression,0.8699736203439906,0.07106750652418606,0.7957264957264957,0.10034639399274645,0.6919435838137777,0.08077149612190404,0.7361294862772695,0.07752930219867714,0.8076275576275578,0.0631380273891893
gradient_boosting,0.85454315232093,0.04421477001314216,0.6615384615384616,0.10027761563803929,0.7316202751496869,0.08709591312235128,0.6890540461352088,0.07647999331788986,0.7681429681429682,0.056813053750585575
dummy_most_frequent,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
